rating,text,date
4,Order placement is snappy.,2026-02-15
4,Fractional shares are great for beginners.,2026-03-05
5,Fractional shares are great for beginners.,2026-01-21
5,Navigation is a bit confusing.,2026-01-17
4,Nice charts and technical indicators.,2026-01-25
4,Font size is too small in charts.,2026-01-22
2,Email support took 5 days to reply.,2026-01-13
3,GTT orders work perfectly.,2026-01-10
1,Clean and modern interface.,2026-02-27
5,Dark mode looks premium.,2026-02-20
5,Smooth onboarding process.,2026-01-01
5,Fast execution for Indian stocks.,2026-01-22
3,KYC was done in 10 minutes.,2026-02-28
4,Video KYC was a bit laggy.,2026-01-26
4,GTT orders work perfectly.,2026-01-06
5,The exchange rate is fair.,2026-02-20
4,GTT orders work perfectly.,2026-02-20
5,Intraday charges are high.,2026-01-24
4,Stuck at PAN verification.,2026-02-10
4,Video KYC was a bit laggy.,2026-01-15
5,Direct plans saved me commission.,2026-01-19
5,Stuck at PAN verification.,2026-01-05
5,Smooth onboarding process.,2026-01-03
5,Fractional shares are great for beginners.,2026-02-13
5,GTT orders work perfectly.,2026-02-20
2,Support team is very responsive.,2026-03-01
5,Support team is very responsive.,2026-01-24
5,Waiting time for call is too long.,2026-01-22
3,Visualizations of net worth trends are very clear and helpful.,2026-01-25
3,The portfolio rebalancing insights are very scientific and helpful.,2026-02-04
4,My KYC process was completed in less than ten minutes today.,2026-02-27
5,I appreciate the real-time margin updates during live market hours.,2026-02-21
3,The SIP setup process is extremely intuitive and user-friendly.,2026-03-06
4,The watchlists are very easy to manage and update on the go.,2026-02-26
4,Opening a US stock account was a complete breeze for me.,2026-02-23
5,The dark mode implementation looks premium and easy on the eyes.,2026-02-09
5,The mutual fund comparison tool helps me pick the best funds.,2026-03-03
1,Instant account activation allowed me to start investing the same day.,2026-02-23
5,Linking my external portfolio via CAS was a very smooth experience.,2026-03-09
5,Fractional shares make it so easy to invest in expensive stocks.,2026-02-11
5,The SIP setup process is extremely intuitive and user-friendly.,2026-02-18
5,I appreciate the real-time margin updates during live market hours.,2026-01-25
4,The intraday trading charges are quite competitive in the market.,2026-02-20
5,Visualizations of net worth trends are very clear and helpful.,2026-01-09
5,Linking my external portfolio via CAS was a very smooth experience.,2026-02-05
5,I appreciate the real-time margin updates during live market hours.,2026-03-03
5,The app is very responsive and doesn't lag on my phone.,2026-03-08
5,Visualizations of net worth trends are very clear and helpful.,2026-03-11
5,One-click access to reports is a very thoughtful feature here.,2026-02-12
4,Opening a US stock account was a complete breeze for me.,2026-01-08
4,I was stuck at PAN verification for a bit but it passed.,2026-01-13
5,The overall app navigation is quite logical and well-structured.,2026-03-11
5,Direct plans have significantly increased my long-term returns here.,2026-01-23
5,The overall app navigation is quite logical and well-structured.,2026-03-03
5,My KYC process was completed in less than ten minutes today.,2026-01-30
5,Automated SIP payments through UPI make investing completely hands-free.,2026-02-23
5,I love the subtle animations and micro-interactions in the app.,2026-01-04
4,I can track all my external mutual funds in one dashboard.,2026-03-06
3,Overall onboarding process is one of the best in fintech apps.,2026-02-04
4,Managing US portfolios has never been this simple in India.,2026-01-27
5,The digital document upload failed once but worked the second time.,2026-01-17
2,Linking my external portfolio via CAS was a very smooth experience.,2026-03-10
5,Linking my external portfolio via CAS was a very smooth experience.,2026-01-31
5,My KYC process was completed in less than ten minutes today.,2026-01-18
4,I love the goal-based investing features for my children's future.,2026-01-31
4,I love the subtle animations and micro-interactions in the app.,2026-02-15
4,The technical charts and indicators are professional and easy to use.,2026-02-02
4,Fractional shares make it so easy to invest in expensive stocks.,2026-02-01
4,Opening a US stock account was a complete breeze for me.,2026-02-19
4,The facial recognition step was quick and didn't require retakes.,2026-02-07
4,The dashboard gives a great overview of all my financial assets.,2026-01-01
5,I appreciate the real-time margin updates during live market hours.,2026-03-06
4,Overall onboarding process is one of the best in fintech apps.,2026-02-05
4,Execution for Indian stock orders is incredibly snappy and fast.,2026-01-25
5,The SIP setup process is extremely intuitive and user-friendly.,2026-01-22
2,The facial recognition step was quick and didn't require retakes.,2026-01-13
4,The facial recognition step was quick and didn't require retakes.,2026-02-26
4,The video KYC experience was smooth and the agent was helpful.,2026-02-05
4,The technical charts and indicators are professional and easy to use.,2026-01-24
5,The SIP setup process is extremely intuitive and user-friendly.,2026-01-30
5,I can track all my external mutual funds in one dashboard.,2026-01-28
5,The mutual fund comparison tool helps me pick the best funds.,2026-02-01
4,Instant account activation allowed me to start investing the same day.,2026-01-29
5,The dark mode implementation looks premium and easy on the eyes.,2026-02-07
5,The portfolio rebalancing insights are very scientific and helpful.,2026-03-04
4,GTT orders work perfectly and help me catch market moves.,2026-01-18
5,Automated SIP payments through UPI make investing completely hands-free.,2026-03-08
4,Linking my external portfolio via CAS was a very smooth experience.,2026-01-17
4,The portfolio rebalancing insights are very scientific and helpful.,2026-02-27
4,The mutual fund comparison tool helps me pick the best funds.,2026-01-14
5,Execution for Indian stock orders is incredibly snappy and fast.,2026-03-02
3,It took exactly 3 days to withdraw my funds from the US account.,2026-01-24
5,The exchange rate for US stocks is extremely competitive compared to others.,2026-02-10
5,My KYC process was completed in less than ten minutes today.,2026-01-02
4,One-click access to reports is a very thoughtful feature here.,2026-01-03
5,It took exactly 3 days to withdraw my funds from the US account.,2026-02-13
5,The SIP setup process is extremely intuitive and user-friendly.,2026-02-04
5,I love the goal-based investing features for my children's future.,2026-01-30
5,Execution for Indian stock orders is incredibly snappy and fast.,2026-02-28
5,Overall onboarding process is one of the best in fintech apps.,2026-03-07
2,Fractional shares make it so easy to invest in expensive stocks.,2026-02-21
5,Opening a US stock account was a complete breeze for me.,2026-02-13
1,The exchange rate for US stocks is extremely competitive compared to others.,2026-02-22
4,The digital document upload failed once but worked the second time.,2026-03-07
4,The technical charts and indicators are professional and easy to use.,2026-01-13
4,The real-time tracking of US market movements is very impressive.,2026-02-24
1,Managing US portfolios has never been this simple in India.,2026-02-19
4,Fractional shares make it so easy to invest in expensive stocks.,2026-02-02
4,Opening a US stock account was a complete breeze for me.,2026-01-07
2,I can track all my external mutual funds in one dashboard.,2026-03-02
4,My KYC process was completed in less than ten minutes today.,2026-01-31
4,I really liked the clean step-by-step guidance for new users.,2026-02-27
4,The exchange rate for US stocks is extremely competitive compared to others.,2026-01-17
5,The real-time tracking of US market movements is very impressive.,2026-01-26
4,Opening a US stock account was a complete breeze for me.,2026-02-04
4,Clean and modern interface makes financial tracking a lot of fun.,2026-01-07
4,I really liked the clean step-by-step guidance for new users.,2026-01-25
1,The dark mode implementation looks premium and easy on the eyes.,2026-01-31
3,I love the subtle animations and micro-interactions in the app.,2026-03-09
3,The app is very responsive and doesn't lag on my phone.,2026-01-08
